asset,Date,SplyCur
btc,2018-01-01,16776348.58618491
btc,2018-01-02,16778486.0861849
btc,2018-01-03,16780448.58618488
btc,2018-01-04,16782548.58618486
btc,2018-01-05,16784336.08618409
btc,2018-01-06,16786436.08618407
btc,2018-01-07,16788461.08618405
btc,2018-01-08,16790536.08612404
btc,2018-01-09,16792586.08610402
btc,2018-01-10,16794661.086094
btc,2018-01-11,16797073.58609399
btc,2018-01-12,16799298.58608398
btc,2018-01-13,16801161.08608397
btc,2018-01-14,16803098.58608395
btc,2018-01-15,16804973.58608393
btc,2018-01-16,16806961.08608391
btc,2018-01-17,16809048.58608389
btc,2018-01-18,16811211.08608388
btc,2018-01-19,16813273.58608387
btc,2018-01-20,16815498.58608385
btc,2018-01-21,16817836.08608383
btc,2018-01-22,16819923.58608351
btc,2018-01-23,16822136.08608349
btc,2018-01-24,16824336.08608348
btc,2018-01-25,16826311.08608316
btc,2018-01-26,16828248.58598315
btc,2018-01-27,16830211.08598303
btc,2018-01-28,16832186.08598302
btc,2018-01-29,16834036.08598281
btc,2018-01-30,16836123.58598251
btc,2018-01-31,16837586.0859825
btc,2018-02-01,16839586.08598229
btc,2018-02-02,16841686.08598227
btc,2018-02-03,16843661.08598225
btc,2018-02-04,16845886.08598194
btc,2018-02-05,16848198.58598108
btc,2018-02-06,16850323.58598086
btc,2018-02-07,16852086.08598064
btc,2018-02-08,16853723.58598053
btc,2018-02-09,16855411.08598012
btc,2018-02-10,16857198.5859795
btc,2018-02-11,16859086.0859795
btc,2018-02-12,16861161.08597948
btc,2018-02-13,16863211.08594926
btc,2018-02-14,16865448.58594924
btc,2018-02-15,16867086.08594922
btc,2018-02-16,16869048.5859492
btc,2018-02-17,16870911.08594919
btc,2018-02-18,16872936.08594919
btc,2018-02-19,16874961.08594907
btc,2018-02-20,16876723.58594906
btc,2018-02-21,16878836.08594893
btc,2018-02-22,16880698.58592881
btc,2018-02-23,16882548.58592879
btc,2018-02-24,16884361.08591877
btc,2018-02-25,16886498.58591876
btc,2018-02-26,16888261.08591856
btc,2018-02-27,16890261.08591844
btc,2018-02-28,16892198.58589749
btc,2018-03-01,16894261.08589657
btc,2018-03-02,16896211.08589546
btc,2018-03-03,16898461.08589524
btc,2018-03-04,16900311.08589442
btc,2018-03-05,16902173.5858937
btc,2018-03-06,16904123.58589279
btc,2018-03-07,16906086.08589167
btc,2018-03-08,16908111.0858914
btc,2018-03-09,16909936.0858902
btc,2018-03-10,16911686.085889
btc,2018-03-11,16913598.5858879
btc,2018-03-12,16915611.0858879
btc,2018-03-13,16917586.0858879
